# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-10 18:37:37 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01073500 LAMPREY RIVER NEAR NEWMARKET, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01073500
#            TS   parameter     statistic     Description
#         63999       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	63999_00060_00003	63999_00060_00003_cd
USGS	01073500	1990-05-11	479	A
USGS	01073500	1990-05-12	541	A
USGS	01073500	1990-05-13	580	A
USGS	01073500	1990-05-14	647	A
USGS	01073500	1990-05-15	637	A
USGS	01073500	1990-05-16	573	A
USGS	01073500	1990-05-17	532	A
USGS	01073500	1990-05-18	684	A
USGS	01073500	1990-05-19	697	A
USGS	01073500	1990-05-20	620	A
USGS	01073500	1990-05-21	586	A
USGS	01073500	1990-05-22	603	A
USGS	01073500	1990-05-23	591	A
USGS	01073500	1990-05-24	528	A
USGS	01073500	1990-05-25	437	A
USGS	01073500	1990-05-26	369	A
USGS	01073500	1990-05-27	323	A
USGS	01073500	1990-05-28	286	A
USGS	01073500	1990-05-29	253	A
USGS	01073500	1990-05-30	425	A
USGS	01073500	1990-05-31	504	A
USGS	01073500	1990-06-01	435	A
USGS	01073500	1990-06-02	346	A
USGS	01073500	1990-06-03	279	A
USGS	01073500	1990-06-04	245	A
USGS	01073500	1990-06-05	224	A
USGS	01073500	1990-06-06	193	A
USGS	01073500	1990-06-07	177	A
USGS	01073500	1990-06-08	164	A
USGS	01073500	1990-06-09	164	A
USGS	01073500	1990-06-10	168	A
USGS	01073500	1990-06-11	189	A
USGS	01073500	1990-06-12	207	A
USGS	01073500	1990-06-13	186	A
USGS	01073500	1990-06-14	160	A
USGS	01073500	1990-06-15	140	A
USGS	01073500	1990-06-16	127	A
USGS	01073500	1990-06-17	115	A
USGS	01073500	1990-06-18	100	A
USGS	01073500	1990-06-19	95.0	A
USGS	01073500	1990-06-20	87.0	A
USGS	01073500	1990-06-21	88.0	A
USGS	01073500	1990-06-22	97.0	A
USGS	01073500	1990-06-23	103	A
USGS	01073500	1990-06-24	223	A
USGS	01073500	1990-06-25	205	A
USGS	01073500	1990-06-26	187	A
USGS	01073500	1990-06-27	158	A
USGS	01073500	1990-06-28	139	A
USGS	01073500	1990-06-29	117	A
USGS	01073500	1990-06-30	108	A
USGS	01073500	1990-07-01	105	A
USGS	01073500	1990-07-02	101	A
USGS	01073500	1990-07-03	92.0	A
USGS	01073500	1990-07-04	84.0	A
USGS	01073500	1990-07-05	77.0	A
USGS	01073500	1990-07-06	71.0	A
USGS	01073500	1990-07-07	65.0	A
USGS	01073500	1990-07-08	59.0	A
USGS	01073500	1990-07-09	56.0	A
USGS	01073500	1990-07-10	55.0	A
USGS	01073500	1990-07-11	52.0	A
USGS	01073500	1990-07-12	48.0	A
USGS	01073500	1990-07-13	48.0	A
USGS	01073500	1990-07-14	46.0	A
USGS	01073500	1990-07-15	44.0	A
USGS	01073500	1990-07-16	42.0	A
USGS	01073500	1990-07-17	38.0	A
USGS	01073500	1990-07-18	36.0	A
USGS	01073500	1990-07-19	34.0	A
USGS	01073500	1990-07-20	33.0	A
USGS	01073500	1990-07-21	33.0	A
USGS	01073500	1990-07-22	31.0	A
USGS	01073500	1990-07-23	46.0	A
USGS	01073500	1990-07-24	66.0	A
USGS	01073500	1990-07-25	98.0	A
USGS	01073500	1990-07-26	130	A
USGS	01073500	1990-07-27	101	A
USGS	01073500	1990-07-28	77.0	A
USGS	01073500	1990-07-29	66.0	A
USGS	01073500	1990-07-30	58.0	A
USGS	01073500	1990-07-31	52.0	A
USGS	01073500	1990-08-01	46.0	A
USGS	01073500	1990-08-02	41.0	A
USGS	01073500	1990-08-03	37.0	A
USGS	01073500	1990-08-04	34.0	A
USGS	01073500	1990-08-05	35.0	A
USGS	01073500	1990-08-06	31.0	A
USGS	01073500	1990-08-07	32.0	A
USGS	01073500	1990-08-08	52.0	A
USGS	01073500	1990-08-09	124	A
USGS	01073500	1990-08-10	269	A
USGS	01073500	1990-08-11	261	A
USGS	01073500	1990-08-12	268	A
USGS	01073500	1990-08-13	284	A
USGS	01073500	1990-08-14	266	A
USGS	01073500	1990-08-15	201	A
USGS	01073500	1990-08-16	154	A
USGS	01073500	1990-08-17	120	A
USGS	01073500	1990-08-18	97.0	A
USGS	01073500	1990-08-19	97.0	A
USGS	01073500	1990-08-20	96.0	A
USGS	01073500	1990-08-21	85.0	A
USGS	01073500	1990-08-22	78.0	A
USGS	01073500	1990-08-23	73.0	A
USGS	01073500	1990-08-24	71.0	A
USGS	01073500	1990-08-25	189	A
USGS	01073500	1990-08-26	529	A
USGS	01073500	1990-08-27	869	A
USGS	01073500	1990-08-28	883	A
USGS	01073500	1990-08-29	550	A
USGS	01073500	1990-08-30	361	A
USGS	01073500	1990-08-31	258	A
USGS	01073500	1990-09-01	197	A
USGS	01073500	1990-09-02	153	A
USGS	01073500	1990-09-03	125	A
USGS	01073500	1990-09-04	106	A
USGS	01073500	1990-09-05	92.0	A
USGS	01073500	1990-09-06	81.0	A
USGS	01073500	1990-09-07	76.0	A
USGS	01073500	1990-09-08	71.0	A
USGS	01073500	1990-09-09	67.0	A
USGS	01073500	1990-09-10	67.0	A
USGS	01073500	1990-09-11	66.0	A
USGS	01073500	1990-09-12	67.0	A
USGS	01073500	1990-09-13	65.0	A
USGS	01073500	1990-09-14	64.0	A
USGS	01073500	1990-09-15	69.0	A
USGS	01073500	1990-09-16	84.0	A
USGS	01073500	1990-09-17	82.0	A
USGS	01073500	1990-09-18	81.0	A
USGS	01073500	1990-09-19	74.0	A
USGS	01073500	1990-09-20	73.0	A
USGS	01073500	1990-09-21	71.0	A
USGS	01073500	1990-09-22	69.0	A
USGS	01073500	1990-09-23	73.0	A
USGS	01073500	1990-09-24	72.0	A
USGS	01073500	1990-09-25	68.0	A
USGS	01073500	1990-09-26	64.0	A
USGS	01073500	1990-09-27	61.0	A
USGS	01073500	1990-09-28	59.0	A
USGS	01073500	1990-09-29	57.0	A
USGS	01073500	1990-09-30	56.0	A
USGS	01073500	1990-10-01	56.0	A
USGS	01073500	1990-10-02	65.0	A
USGS	01073500	1990-10-03	73.0	A
USGS	01073500	1990-10-04	75.0	A
USGS	01073500	1990-10-05	73.0	A
USGS	01073500	1990-10-06	69.0	A
USGS	01073500	1990-10-07	67.0	A
USGS	01073500	1990-10-08	70.0	A
USGS	01073500	1990-10-09	66.0	A
USGS	01073500	1990-10-10	88.0	A
USGS	01073500	1990-10-11	82.0	A
USGS	01073500	1990-10-12	121	A
USGS	01073500	1990-10-13	201	A
USGS	01073500	1990-10-14	578	A
USGS	01073500	1990-10-15	687	A
USGS	01073500	1990-10-16	645	A
USGS	01073500	1990-10-17	491	A
USGS	01073500	1990-10-18	371	A
USGS	01073500	1990-10-19	436	A
USGS	01073500	1990-10-20	458	A
USGS	01073500	1990-10-21	403	A
USGS	01073500	1990-10-22	339	A
USGS	01073500	1990-10-23	326	A
USGS	01073500	1990-10-24	738	A
USGS	01073500	1990-10-25	896	A
USGS	01073500	1990-10-26	898	A
USGS	01073500	1990-10-27	725	A
USGS	01073500	1990-10-28	552	A
USGS	01073500	1990-10-29	507	A
USGS	01073500	1990-10-30	464	A
USGS	01073500	1990-10-31	425	A
USGS	01073500	1990-11-01	412	A
USGS	01073500	1990-11-02	387	A
USGS	01073500	1990-11-03	345	A
USGS	01073500	1990-11-04	314	A
USGS	01073500	1990-11-05	283	A
USGS	01073500	1990-11-06	323	A
USGS	01073500	1990-11-07	368	A
USGS	01073500	1990-11-08	388	A
USGS	01073500	1990-11-09	367	A
USGS	01073500	1990-11-10	471	A
USGS	01073500	1990-11-11	1300	A
USGS	01073500	1990-11-12	1300	A
USGS	01073500	1990-11-13	1160	A
USGS	01073500	1990-11-14	841	A
USGS	01073500	1990-11-15	637	A
USGS	01073500	1990-11-16	553	A
USGS	01073500	1990-11-17	499	A
USGS	01073500	1990-11-18	457	A
USGS	01073500	1990-11-19	421	A
USGS	01073500	1990-11-20	393	A
USGS	01073500	1990-11-21	366	A
USGS	01073500	1990-11-22	341	A
USGS	01073500	1990-11-23	325	A
USGS	01073500	1990-11-24	330	A
USGS	01073500	1990-11-25	323	A
USGS	01073500	1990-11-26	310	A
USGS	01073500	1990-11-27	293	A
USGS	01073500	1990-11-28	288	A
USGS	01073500	1990-11-29	298	A
USGS	01073500	1990-11-30	290	A
USGS	01073500	1990-12-01	272	A
USGS	01073500	1990-12-02	283	A
USGS	01073500	1990-12-03	308	A
USGS	01073500	1990-12-04	505	A
USGS	01073500	1990-12-05	885	A
USGS	01073500	1990-12-06	992	A
USGS	01073500	1990-12-07	899	A
USGS	01073500	1990-12-08	672	A
USGS	01073500	1990-12-09	549	A
USGS	01073500	1990-12-10	498	A
USGS	01073500	1990-12-11	447	A
USGS	01073500	1990-12-12	397	A
USGS	01073500	1990-12-13	366	A
USGS	01073500	1990-12-14	338	A
USGS	01073500	1990-12-15	286	A
USGS	01073500	1990-12-16	285	A:e
USGS	01073500	1990-12-17	280	A:e
USGS	01073500	1990-12-18	310	A:e
USGS	01073500	1990-12-19	315	A:e
USGS	01073500	1990-12-20	345	A:e
USGS	01073500	1990-12-21	410	A:e
USGS	01073500	1990-12-22	460	A:e
USGS	01073500	1990-12-23	496	A
USGS	01073500	1990-12-24	664	A
USGS	01073500	1990-12-25	909	A
USGS	01073500	1990-12-26	1030	A
USGS	01073500	1990-12-27	848	A
USGS	01073500	1990-12-28	651	A
USGS	01073500	1990-12-29	558	A
USGS	01073500	1990-12-30	536	A
USGS	01073500	1990-12-31	628	A
USGS	01073500	1991-01-01	574	A
USGS	01073500	1991-01-02	540	A:e
USGS	01073500	1991-01-03	460	A:e
USGS	01073500	1991-01-04	390	A:e
USGS	01073500	1991-01-05	345	A:e
USGS	01073500	1991-01-06	300	A:e
USGS	01073500	1991-01-07	270	A:e
USGS	01073500	1991-01-08	250	A:e
USGS	01073500	1991-01-09	240	A:e
USGS	01073500	1991-01-10	230	A:e
USGS	01073500	1991-01-11	220	A:e
USGS	01073500	1991-01-12	215	A:e
USGS	01073500	1991-01-13	210	A:e
USGS	01073500	1991-01-14	225	A:e
USGS	01073500	1991-01-15	255	A:e
USGS	01073500	1991-01-16	283	A
USGS	01073500	1991-01-17	392	A
USGS	01073500	1991-01-18	447	A
USGS	01073500	1991-01-19	448	A
USGS	01073500	1991-01-20	415	A
USGS	01073500	1991-01-21	375	A
USGS	01073500	1991-01-22	316	A
USGS	01073500	1991-01-23	266	A
USGS	01073500	1991-01-24	240	A:e
USGS	01073500	1991-01-25	220	A:e
USGS	01073500	1991-01-26	215	A:e
USGS	01073500	1991-01-27	200	A:e
USGS	01073500	1991-01-28	190	A:e
USGS	01073500	1991-01-29	180	A:e
USGS	01073500	1991-01-30	180	A:e
USGS	01073500	1991-01-31	190	A:e
USGS	01073500	1991-02-01	200	A:e
USGS	01073500	1991-02-02	210	A:e
USGS	01073500	1991-02-03	220	A:e
USGS	01073500	1991-02-04	235	A:e
USGS	01073500	1991-02-05	260	A:e
USGS	01073500	1991-02-06	300	A:e
USGS	01073500	1991-02-07	350	A:e
USGS	01073500	1991-02-08	400	A:e
USGS	01073500	1991-02-09	535	A
USGS	01073500	1991-02-10	511	A
USGS	01073500	1991-02-11	442	A
USGS	01073500	1991-02-12	340	A
USGS	01073500	1991-02-13	321	A
USGS	01073500	1991-02-14	300	A:e
USGS	01073500	1991-02-15	280	A:e
USGS	01073500	1991-02-16	260	A:e
USGS	01073500	1991-02-17	240	A:e
USGS	01073500	1991-02-18	235	A:e
USGS	01073500	1991-02-19	240	A:e
USGS	01073500	1991-02-20	250	A:e
USGS	01073500	1991-02-21	260	A:e
USGS	01073500	1991-02-22	270	A:e
USGS	01073500	1991-02-23	260	A:e
USGS	01073500	1991-02-24	250	A:e
USGS	01073500	1991-02-25	240	A:e
USGS	01073500	1991-02-26	230	A:e
USGS	01073500	1991-02-27	250	A:e
USGS	01073500	1991-02-28	421	A
USGS	01073500	1991-03-01	678	A
USGS	01073500	1991-03-02	937	A
USGS	01073500	1991-03-03	945	A:e
USGS	01073500	1991-03-04	955	A:e
USGS	01073500	1991-03-05	920	A:e
USGS	01073500	1991-03-06	850	A:e
USGS	01073500	1991-03-07	775	A
USGS	01073500	1991-03-08	744	A
USGS	01073500	1991-03-09	648	A
USGS	01073500	1991-03-10	570	A
USGS	01073500	1991-03-11	489	A
USGS	01073500	1991-03-12	430	A
USGS	01073500	1991-03-13	369	A
USGS	01073500	1991-03-14	339	A
USGS	01073500	1991-03-15	323	A
USGS	01073500	1991-03-16	291	A
USGS	01073500	1991-03-17	263	A
USGS	01073500	1991-03-18	346	A
USGS	01073500	1991-03-19	475	A:e
USGS	01073500	1991-03-20	675	A:e
USGS	01073500	1991-03-21	540	A:e
USGS	01073500	1991-03-22	475	A:e
USGS	01073500	1991-03-23	450	A:e
USGS	01073500	1991-03-24	425	A:e
USGS	01073500	1991-03-25	460	A:e
USGS	01073500	1991-03-26	480	A:e
USGS	01073500	1991-03-27	525	A:e
USGS	01073500	1991-03-28	620	A:e
USGS	01073500	1991-03-29	775	A:e
USGS	01073500	1991-03-30	600	A:e
USGS	01073500	1991-03-31	480	A:e
USGS	01073500	1991-04-01	400	A:e
USGS	01073500	1991-04-02	324	A
USGS	01073500	1991-04-03	302	A
USGS	01073500	1991-04-04	287	A
USGS	01073500	1991-04-05	263	A
USGS	01073500	1991-04-06	251	A
USGS	01073500	1991-04-07	242	A
USGS	01073500	1991-04-08	232	A
USGS	01073500	1991-04-09	199	A
USGS	01073500	1991-04-10	213	A
USGS	01073500	1991-04-11	212	A
USGS	01073500	1991-04-12	197	A
USGS	01073500	1991-04-13	185	A
USGS	01073500	1991-04-14	175	A
USGS	01073500	1991-04-15	169	A
USGS	01073500	1991-04-16	196	A
USGS	01073500	1991-04-17	200	A
USGS	01073500	1991-04-18	197	A
USGS	01073500	1991-04-19	186	A
USGS	01073500	1991-04-20	177	A
USGS	01073500	1991-04-21	370	A
USGS	01073500	1991-04-22	1070	A
USGS	01073500	1991-04-23	1050	A
USGS	01073500	1991-04-24	865	A
USGS	01073500	1991-04-25	620	A
USGS	01073500	1991-04-26	470	A
USGS	01073500	1991-04-27	379	A
USGS	01073500	1991-04-28	330	A
USGS	01073500	1991-04-29	292	A
USGS	01073500	1991-04-30	303	A
USGS	01073500	1991-05-01	426	A
USGS	01073500	1991-05-02	446	A
USGS	01073500	1991-05-03	426	A
USGS	01073500	1991-05-04	371	A
USGS	01073500	1991-05-05	309	A
USGS	01073500	1991-05-06	306	A
USGS	01073500	1991-05-07	541	A
USGS	01073500	1991-05-08	606	A
USGS	01073500	1991-05-09	565	A
USGS	01073500	1991-05-10	455	A
USGS	01073500	1991-05-11	369	A
USGS	01073500	1991-05-12	313	A
USGS	01073500	1991-05-13	273	A
USGS	01073500	1991-05-14	239	A
USGS	01073500	1991-05-15	210	A
USGS	01073500	1991-05-16	190	A
USGS	01073500	1991-05-17	179	A
USGS	01073500	1991-05-18	256	A
USGS	01073500	1991-05-19	243	A
USGS	01073500	1991-05-20	212	A
USGS	01073500	1991-05-21	184	A
USGS	01073500	1991-05-22	161	A
USGS	01073500	1991-05-23	138	A
USGS	01073500	1991-05-24	122	A
USGS	01073500	1991-05-25	110	A
USGS	01073500	1991-05-26	105	A
USGS	01073500	1991-05-27	98.0	A
USGS	01073500	1991-05-28	106	A
USGS	01073500	1991-05-29	98.0	A
USGS	01073500	1991-05-30	93.0	A
USGS	01073500	1991-05-31	89.0	A
USGS	01073500	1991-06-01	89.0	A
USGS	01073500	1991-06-02	86.0	A
USGS	01073500	1991-06-03	80.0	A
USGS	01073500	1991-06-04	82.0	A
USGS	01073500	1991-06-05	88.0	A
USGS	01073500	1991-06-06	89.0	A
USGS	01073500	1991-06-07	81.0	A
USGS	01073500	1991-06-08	74.0	A
USGS	01073500	1991-06-09	67.0	A
USGS	01073500	1991-06-10	63.0	A
USGS	01073500	1991-06-11	59.0	A
USGS	01073500	1991-06-12	59.0	A
USGS	01073500	1991-06-13	59.0	A
USGS	01073500	1991-06-14	55.0	A
USGS	01073500	1991-06-15	53.0	A
USGS	01073500	1991-06-16	64.0	A
USGS	01073500	1991-06-17	73.0	A
USGS	01073500	1991-06-18	77.0	A
USGS	01073500	1991-06-19	74.0	A
USGS	01073500	1991-06-20	70.0	A
USGS	01073500	1991-06-21	63.0	A
USGS	01073500	1991-06-22	56.0	A
USGS	01073500	1991-06-23	51.0	A
USGS	01073500	1991-06-24	45.0	A
USGS	01073500	1991-06-25	42.0	A
USGS	01073500	1991-06-26	38.0	A
USGS	01073500	1991-06-27	35.0	A
USGS	01073500	1991-06-28	32.0	A
USGS	01073500	1991-06-29	30.0	A
USGS	01073500	1991-06-30	30.0	A
USGS	01073500	1991-07-01	28.0	A
USGS	01073500	1991-07-02	27.0	A
USGS	01073500	1991-07-03	25.0	A
USGS	01073500	1991-07-04	24.0	A
USGS	01073500	1991-07-05	24.0	A
USGS	01073500	1991-07-06	24.0	A
USGS	01073500	1991-07-07	26.0	A
USGS	01073500	1991-07-08	27.0	A
USGS	01073500	1991-07-09	26.0	A
USGS	01073500	1991-07-10	24.0	A
USGS	01073500	1991-07-11	22.0	A
USGS	01073500	1991-07-12	20.0	A
USGS	01073500	1991-07-13	23.0	A
USGS	01073500	1991-07-14	51.0	A
USGS	01073500	1991-07-15	51.0	A
USGS	01073500	1991-07-16	41.0	A
USGS	01073500	1991-07-17	35.0	A
USGS	01073500	1991-07-18	30.0	A
USGS	01073500	1991-07-19	27.0	A
USGS	01073500	1991-07-20	24.0	A
USGS	01073500	1991-07-21	22.0	A
USGS	01073500	1991-07-22	20.0	A
USGS	01073500	1991-07-23	20.0	A
USGS	01073500	1991-07-24	19.0	A
USGS	01073500	1991-07-25	17.0	A
USGS	01073500	1991-07-26	17.0	A
USGS	01073500	1991-07-27	19.0	A
USGS	01073500	1991-07-28	21.0	A
USGS	01073500	1991-07-29	20.0	A
USGS	01073500	1991-07-30	18.0	A
USGS	01073500	1991-07-31	17.0	A
USGS	01073500	1991-08-01	15.0	A
USGS	01073500	1991-08-02	14.0	A
USGS	01073500	1991-08-03	13.0	A
USGS	01073500	1991-08-04	13.0	A
USGS	01073500	1991-08-05	14.0	A
USGS	01073500	1991-08-06	13.0	A
USGS	01073500	1991-08-07	13.0	A
USGS	01073500	1991-08-08	13.0	A
USGS	01073500	1991-08-09	12.0	A
USGS	01073500	1991-08-10	29.0	A
USGS	01073500	1991-08-11	44.0	A
USGS	01073500	1991-08-12	36.0	A
USGS	01073500	1991-08-13	30.0	A
USGS	01073500	1991-08-14	26.0	A
USGS	01073500	1991-08-15	23.0	A
USGS	01073500	1991-08-16	20.0	A
USGS	01073500	1991-08-17	18.0	A
USGS	01073500	1991-08-18	18.0	A
USGS	01073500	1991-08-19	371	A
USGS	01073500	1991-08-20	1410	A
USGS	01073500	1991-08-21	1560	A
USGS	01073500	1991-08-22	1540	A
USGS	01073500	1991-08-23	1010	A
USGS	01073500	1991-08-24	621	A
USGS	01073500	1991-08-25	406	A
USGS	01073500	1991-08-26	286	A
USGS	01073500	1991-08-27	215	A
USGS	01073500	1991-08-28	171	A
USGS	01073500	1991-08-29	143	A
USGS	01073500	1991-08-30	115	A
USGS	01073500	1991-08-31	103	A
USGS	01073500	1991-09-01	97.0	A
USGS	01073500	1991-09-02	86.0	A
USGS	01073500	1991-09-03	77.0	A
USGS	01073500	1991-09-04	70.0	A
USGS	01073500	1991-09-05	73.0	A
USGS	01073500	1991-09-06	77.0	A
USGS	01073500	1991-09-07	74.0	A
USGS	01073500	1991-09-08	69.0	A
USGS	01073500	1991-09-09	62.0	A
USGS	01073500	1991-09-10	55.0	A
USGS	01073500	1991-09-11	51.0	A
USGS	01073500	1991-09-12	46.0	A
USGS	01073500	1991-09-13	42.0	A
USGS	01073500	1991-09-14	39.0	A
USGS	01073500	1991-09-15	41.0	A
USGS	01073500	1991-09-16	53.0	A
USGS	01073500	1991-09-17	60.0	A
USGS	01073500	1991-09-18	61.0	A
USGS	01073500	1991-09-19	66.0	A
USGS	01073500	1991-09-20	128	A
USGS	01073500	1991-09-21	142	A
USGS	01073500	1991-09-22	133	A
USGS	01073500	1991-09-23	115	A
USGS	01073500	1991-09-24	99.0	A
USGS	01073500	1991-09-25	362	A
USGS	01073500	1991-09-26	902	A
USGS	01073500	1991-09-27	1090	A
USGS	01073500	1991-09-28	1050	A
USGS	01073500	1991-09-29	784	A
USGS	01073500	1991-09-30	532	A
USGS	01073500	1991-10-01	402	A
USGS	01073500	1991-10-02	357	A
USGS	01073500	1991-10-03	342	A
USGS	01073500	1991-10-04	318	A
USGS	01073500	1991-10-05	283	A
USGS	01073500	1991-10-06	300	A
USGS	01073500	1991-10-07	446	A
USGS	01073500	1991-10-08	529	A
USGS	01073500	1991-10-09	543	A
